天然要害沙斯塔夏溶洞,"15溶洞
沿途：地图直走的笔记文字提示了老一需要打开的机关的颜色。贝壳不用打。
开完机关之后出现BOSS，打就行了。
沿途需击杀门口小怪捡钥匙
最后出洞窟之后需要贴左侧前进,尽量不拉到右侧小怪"
地下灵殿塔姆·塔拉墓园,"16墓园
击杀虚无魂魔之后 取下祭坛上的宝珠
第三个祭坛有封印结界 要玩家一直前进 在最深处击杀所有小怪取得念珠解除结界.
最终BOSS 主宰者 加尔梵斯没有特别需要注意的技能 当它与其他小怪连线时 BOSS会变为无敌 需要DPS优先击杀被连线的小怪."
封锁坑道铜铃铜山,"17铜山
老一愤怒的科托斯 没有任何难度 
坐电梯下行之后 击杀“爆破爆弹怪” 后捡起掉落的火药 
老二怒水腐液 需要T拉住粘液胶 其他人启动机关 T同时拉住出现的爆弹怪和粘液胶 让爆弹怪把粘液胶炸碎。魔石精 需要DPS击杀 粘液胶被炸碎3次之后 就可以正常击杀
老三强腕的居格斯 直接打BOSS即可"
魔兽领域日影地修炼所,"20修炼所
老一炽热火丛 直接打BOSS即可
击杀老一之后点击火堆中的“魔力的奔流”传送
 道中需要沿途打开“绞车锁链” 
老二霹雳雷蛟脚下是一个雷池 T把BOSS拉到场边的斜坡上 每过一段时间 BOSS就会返回雷池中央无敌 并召唤小怪 此时雷池带电 请不要踩雷池…清理小怪后继续攻击BOSS 
老三兽斗士 坦伽塔 T把BOSS放在中场 T拉住小怪 只击杀最后一只毒火即可 
当BOSS脚下出现火圈时会无敌 需要转火火元精  "
监狱废墟托托·拉克千狱,"24千狱
路上需要捡拾4个“魔导感光器” 
抵达第二个房间时身上应该有3个感光器 此时左转 在愚者大厅下方会有第4个感光器 
老三霸星蛛蝎 BOSS血量下降到一定程度之后 会出现尾刺
需要DPS立刻集中攻击尾刺 场中刷新的小怪需要由T拉住 奶妈如果是小怪第一仇恨 请把小怪带到T身边 "
名门府邸静语庄园,"28庄园
进门之后沿左侧前进 在第一间屋子里能捡到小钥匙 沿途女仆的读条AO可以使用眩晕技能打断
老一 随从女工 没有特别需要注意的
打完老一捡了钥匙要原地向后,转开门后不走楼梯 直接跳下去
下楼之后最后一间房子(地图左下角)里有BOSS房间的钥匙 
老二 庄园的小丑总管 打就完了
打完老二之后需要使用通用技能“返回” 然后前行上楼梯 
老三阿芒迪娜女士 打BOSS就行，如果新人较多可以考虑关灯、打大眼睛小怪。"
休养胜地布雷福洛克斯野营地,"32营地
进门之后在布雷福洛克斯监视小屋的跟哥布林说话拿到钥匙
老一大黄鹈鹕 T拉住小怪和BOSS 奶妈注意驱散DEbuff
沿途的怪能不打就不打 直接去BOSS房
老二狱炎火蛟每隔一段时间会追一段时间哥布林，无视仇恨，不必慌张。
老三水栖蝾螈 奶妈注意驱散淤泥DEBUFF 出水泡打水泡
最终BOSS阿杰特 出啥躲啥 BOSS会随机点名一名玩家吐一摊毒 BOSS站在毒里会回血 需要T将其带离毒潭"
古代遗迹喀恩埋没圣堂,"35圣堂
DPS第一时间集火圣堂峰，不然会读条能秒杀T的大伤害技能“终结针”
老一巨齿牛头魔会读条技能“致命射线” 同时屏幕提示“巨齿牛头魔发出了诡异的咆哮！”
此时需要所有人找到发光的石板踩上去解除buff
路上遇到的“常衡石面”需要把它放在石板上击杀 石板不发光说明位置正确
老二圣堂守卫 DPS要先集火巨像兵的魂石 把魂石打掉之后 才能攻击本体 
老三审判化身 石面同样要在石板上击杀 BOSS会唤权杖，可以无视，也可以打掉。"
流沙迷宫樵鸣洞,"38樵鸣洞
打掉蚂蚁、跳进流沙 
老一灵蚁禁军公主 出啥打啥
沿途一路狂奔 不要回头 不要摸怪 跑到流沙之后迅速下潜即可 
老二巨型地道蠕虫 奶妈注意驱散debuff 
BOSS下潜后 所有人贴边躲开伤害范围即可
老三奇美拉 读条雷电咆哮接近BOSS 读条寒冰咆哮远离BOSS 被点名者远离人群"
对龙城塞石卫塔,"41石卫塔
小怪A人巨疼!
老一丘都尤都 当BOSS突然离开走向场边或角落时 请立刻跟过去 躲到他身侧或身后
老二柯西切 T把BOSS拉到门口 面冲外 奶妈站到场地内侧
当屏幕提示“足枷冰龙从天而降”时 可以开对应位置的炮打断。
老三足枷冰龙 BOSS血量降低到一定程度之后会上天 对场地进行俯冲 被俯冲的地面会变白 所有人注意躲避 
第二次俯冲后注意躲开冰圈
俯冲结束之后 所有人远离T BOSS降落时会对周围造成一定的伤害 "
山中战线泽梅尔要塞,"44要塞
小怪拉到水晶纱帐里面打
老一全视之眼平时是无敌的 需要拉进水晶纱帐
老二 躲好AOE
老三巴特拉尔 BOSS血量下降到一定程度时 会和场边的水晶连线并变为无敌 需要转火水晶"
毒雾洞窟黄金谷,"47黄金谷
贴着左边走!
老一锁匠花 会每隔一段时间全屏上buff buff会让玩家持续掉血 2层吃果子解buff 
老二数币巨人 十吨横扫” 需要T穿过BOSS躲避；“百吨回转” 吃到即死 所有人远离
老三守财夫人 2层buff就要吃果子 注意转火花苞"
财宝传说破舰岛,"50破舰岛
老一大脚巨猿 当BOSS开始全屏AOE时 需要调查场边的树 让BOSS吃掉掉下来的香蕉
沿途的宝箱都要开 有些会出拟态怪 开箱子或者拟态怪会掉石板 需要凑齐4个石板才能开门 
老二肖鲁姆 开场BOSS会在场周召唤一堆水泡 不要离得太近 会被吸进去 当BOSS偶潜入地底 出现大漩涡时 需要钻到水泡里躲避
老三克拉肯 每个岛上会出2只腕足 还有2只触手 触手请优先击杀
BOSS会随机点一名玩家 头上出现绿色的小石头 需要跳到隔壁没人的岛上 等陨石消失并出现漩涡后 才能返回"
恶灵府邸静语庄园,"50庄园
老一庄园的小丑 T拉住小怪 DPS集火即可
老二阿修 BOSS有顺劈 正面不要有人 注意躲避AOE和旋转剑 小怪出场请转火
老三哈利卡纳苏斯 小怪请第一时间转火 否则会有灭团级AOE 第二次小怪刷新后 DPS酌情停手等第三波刷新后击杀"
幻龙残骸密约之塔,"50幻龙
老一独爪妖禽 T把BOSS放在场边 请打飞水箱 DPS和H注意身后和四周也不要有水箱
老二魔导炮艇 BOSS会随机点名一名玩家飞过去并沿途扔一堆火圈 被点名的玩家最好前往场边引导火圈的位置 
老三尘世幻龙 场地上有两条小龙 BOSS血量下降到一定程度后就会复活小龙 第一条龙需要远离BOSS 而第二条龙需要接近BOSS 
小龙打到一定程度后 会刷新一个魔导机器 第一时间集火 场地上出现全场蓝色的范围AOE时 打开魔导屏障发生器 并且躲进去"
凛冽洞天披雪大冰壁,"50大冰壁
老一冰锥万迪尔 “风雪”之后2~4s会出现暴风雪，保持移动或跳跃可以避免被叠buff。爆弹怪爆炸也会叠buff，4层就会被冻住，并持续掉血。
中间有暴风雪的区域，不要站在里面，会持续掉血。
老二大脚雪人，需要T把BOSS拉到场边，并面向场中。场上会刷两种小怪，魔石精不打，BOSS会读条超大范围扇形攻击，把魔石精冻成雪球。当BOSS读条全屏AOE时，需要打一下雪球将其推向BOSS打断。DPS第一时间击杀小怪。
沿途注意打断的异端者读条“龙血”
老三芬里尔 偶数次冰柱掉下来之后，躲在仅剩的一根冰柱之后。
"
领航明灯天狼星灯塔 ,"50灯塔
老一不沉者 西蒙德 出啥打啥
老二祖 别碰鸟蛋 鸟蛋过一段时间就会孵化 先打公的
BOSS上天后所有人远离T
老三暴君 直接打即可
塞壬 T开怪后把BOSS放在场中央背对人群 优先击杀 爬行小怪
BOSS读条“死者之歌”后 奶妈需要奶满有BUFF的玩家 注意躲避俯冲"
骚乱坑道铜铃铜山,"50铜山
老一百臂主脑巨人 T把BOSS带走到没有火的地方 刷新爆弹怪需要DPS第一时间击杀
老二比吉 需要DPS启动装置 捡起炸弹 并放在BOSS脚下 炸弹炸几次之后 BOSS就会从石头人上下来 此时全员攻击BOSS即可
老三复仇者 乌拉诺斯 开场T把BOSS拉到场地边缘 屏幕提示“沙虫在找吃的”时 奶妈或者远程DPS把水晶搬到沙地上 
DPS优先击杀小怪"
苏醒遗迹喀恩埋没圣堂,"50圣堂
老一受损的审判化身 开战后不久 会有某个部位发光 集火该部位即可
途中的蛇会石化需要注意
老二仙人刺女皇 BOSS读条“十万针刺”时 需要集火攻击打断咏唱 场上出现“仙人掌守卫” 先打掉守卫接下来马上集火BOSS
老三审理神代言者 四周会升起棺材 里面会跑出木乃伊 躲开它的直线前进方向 BOSS读条“怨恨的斩击” 是对随机一名玩家的直线范围AOE 
BOSS还会随机连线一名玩家 被连线的人远离BOSS 绕场狂奔"
冰雪废堡暮卫塔,"51暮卫塔
老一角牙古象 出啥躲啥
沿途走过去就有很多怪会爬起来打你
老二寒光剑 尤埃尔默里克  BOSS每使用一次全屏AOE，就会随机复活2只小怪，小怪站起来后，会立刻读条对它周围的怪释放增益buff。当发现小怪在BOSS身边复活时，T要注意把BOSS带走。
沿途有暴风雪的地方会对全团施加不断掉血的伤害。
老三狮身巨鹰，场地上会有2~4块石头，当BOSS跳回场地中央读条“回转牢狱”时，所有人立刻就近找石头躲避，否则会被吸入中间的龙卷风里并造成大量伤害。BOSS的凛冬之风会摧毁石块。"
天山绝顶索姆阿尔灵峰,"53灵峰
一优先击杀龙毒草。打完后远程点掉途中的毒粉块。吃到爆炸会中毒
老一破锁花王 直接打BOSS，无视蜜蜂。
沿途会有大龙突然降落。冰柱和冰元精都可以无视。
老二迈斯龙，隔一段时间会出现一大堆粘液，红色分摊蓝色单吃，绿色粘液读条会对全团造成大伤害。
老三刁曼 头顶出现绿色彗星之后，被点彗星的玩家远离人群放下彗星，然后迅速返回。打到一半后，BOSS会停在场中央不断放AOE，全员攻击两个翅膀。"
圣教中枢伊修加德教皇厅,"55教皇厅
老一光辉剑 阿代尔斐尔 满场乱窜留下光球，光球过一会就会炸开
老二战争狂 格里诺 正面有顺劈，要注意。T把BOSS放中场，BOSS会点名一名玩家方向放黑洞，接近黑洞就会被连线并持续掉血。当BOSS气泡说要把你们都吹飞时，玩家会被击飞。
老三圣骑士沙里贝尔 被连线的两名玩家需要向相反方向移动扯断(只有一个人跑是扯不断的)，场地北边会刷新棋子士兵，注意溜缝躲避。当BOSS消失之后所有人一起输出场上刷出来的“圣火”。"
邪龙王座龙巢神殿,"55龙巢
老一琅妲巫龙 当发现自己被BOSS连线时，跑到石柱附近，把线传递给石柱即可。
沿途会遇到大龙+两只小龙，T只把小龙带走就行了，大龙不必招惹。
老二格亚斯库图斯 爆弹怪吃掉两三层气体后，注意转火打掉爆弹怪。
老三尼德霍格，BOSS会转身向玩家吐火球，注意发现BOSS面冲自己就要及时躲闪(不会有提示)，BOSS偶尔会点名玩家“漆黑之珠”，因为BOSS会顺劈，所以请T不要乱动，由另一名DPS和奶妈打掉珠子解救。BOSS上天后，所有小龙都要及时击杀。如果DPS太慢，奶妈酌情给大师兄(NPC)加一加血。最后一条小龙击杀后，大师兄会开启一个罩子，躲里面等BOSS回来即可。"
学识宝库迦巴勒幻想图书馆,"59图书馆
老一恶魔书墙 注意躲开地上黑色的伤害。当BOSS合上之后，跑到书背后去。
沿途会遇到""64页""优先击杀。
老二比布鲁斯 BOSS回到场地中央后，打落在场上的书，打掉之后书会与一名玩家连线，这名玩家带着线穿过BOSS，让连线的球与BOSS相撞，就可以解除BOSS的无敌。
老三永世珍本 点名跑到场边放球，当BOSS回到场中央并开始读条时，场地四周的圆阵也会发光，需要所有人去踩灭光点。每个阵N个点，所以需要N名玩家同时去踩才行。"
博物战舰无限回廊,"60战舰
老一 幻影光 出啥躲啥。BOSS会释放连续1/4场面积的AOE，建议远程职业也接近BOSS，方便躲避。
沿途大鸟人会AOE旋风比较疼，奇美拉冰远离雷接近优先击杀。
老二 弥诺陶洛斯 横扫绕背侧，回转远离。当BOSS开始横冲直撞之后，注意关注BOSS最后停下的位置和面向，它会立刻使用正面小扇形巨疼AOE，需要绕侧背躲避。当BOSS读条全屏AOE时(场地变蓝)，随手开一个培养皿打断读条…DPS击杀小怪。
老三 博物总管 远离地上的红圈地雷不要碰到。BOSS会给玩家身上挂炸弹buff，需要奶妈驱散，否则会炸到队友。场边出现警报小怪时，需要转火击杀。"
草木庭园圣茉夏娜植物园,"60植物园舰
老一玫瑰园 这个BOSS会放出几个小魔界花苗，然后大大小小一家子一起喷，BOSS会一边喷一边转，但是不会喷满一圈，所以找到BOSS的方向，转到它喷的末点就不用跑了。场上出现名为果实的气球的时候，注意转火击杀(不打的话会炸掉，不过也没有很疼)。
老二鹰蜂女王，平时场边会有很多蜜蜂飞来飞去打人也挺疼。BOSS读攻击指令时，出啥躲啥即可。BOSS读防御指令时，周围的蜜蜂会来到场地中央与BOSS连线，此时要打掉所有蜜蜂。BOSS读协作指令时，场周围的蜜蜂会4只一组并排，此时要离开蜜蜂连面对的方向，它们会向场地内放无提醒的十字或X形的AOE，所有人贴场边站在两组蜜蜂中间即可回避。
老三剧毒美人 没啥特别的，出啥躲啥，有啥躲啥，眼睛记得背对"
地脉灵灯天狼星灯,"60灯塔
老一流光晶片 当玩家被连线时，把线给鸟，没有鸟给蜘蛛。
路上会遇到简易爆弹怪培育炉，优先集火。
老二第8团高级教士 孛罟 小怪带到洞口上打掉。天上掉下来俩锅炉工俩引擎，优先打连线的。
老三爆弹之母和爆弹之父 前半段出啥打啥，后半段会出现名为“治疗爆弹怪”的蓝色爆弹怪，它会向另外的红色小爆弹怪慢慢前进，需要站在红色爆弹怪这边用远程技能打一下治疗爆弹怪，把它推开(不要让它碰到红色爆弹怪)"
黑涡传说破舰岛,"60EX破舰岛
牛和长须豹会在脚下放buff圈，所有人优先击杀，T注意把怪带出buff圈。
老一红血圣女团 一堆小怪，长须豹请优先击杀。其他出啥躲啥。
老二尤弥尔，被点名一万伏特的玩家踩水，连线扯断。
老三爱因扎尔·斯拉菲尔辛正漩将 变身后会在场周围的宝箱里放入药和炸弹，注意观察哪些是解药，并在箱子关闭后走到那个箱子附近解毒。BOSS还会点名一名玩家并读条，这名玩家需要远离其他人，治疗注意准备驱散这名玩家身上的减速buff。"
坚牢铁壁巴埃萨长城,"60长城
浮空装甲会随机连线并持续攻击，弓箭手小怪会无视仇恨给玩家上毒，拉多了非常容易团灭。
老一魔导猎手 出啥打啥出啥躲啥。
老二武装重甲，BOSS会隔一段时间读条“运动物体探知干扰器”，读条结束后会给所有玩家上buff“慎行警告”，所有人立刻停手，不要移动、转视角，近战和物远请按ESC直到弹出系统对话框。等buff倒计时结束后就可以移。
老三铁面公卿，他会突然跑到场地一边对大半场放AOE，所以所有人尽量接近中场站以方便躲避。当天降一堆刀并出现满场AOE时，所有人打中间那把刀即可制造躲避的空间。其他的出啥打啥有啥躲啥。"
空中神域不获岛,"60不获岛
进门跟NPC拿东西开传送点
老一奴涅努克怪鸟 出啥打啥，出啥躲啥。BOSS消失需要玩家找到“奴涅努克之影”，站在怪圈里面才能攻击到它，打掉后浓雾就会散去。
老二卡努瓦努 当发现黑圈里有图腾时，需要玩家把圈内的图腾搬出去。
老三招雷巨蛇 场第四周会掉下去而且不能救。BOSS会点名一名玩家放一个水泡，被点名的人站到BOSS身下。出风元精尽快打掉，击杀后BOSS会立刻读条吹飞并且变得可以被攻击，不要被吹下去"
秘本宝库迦巴勒幻想图书馆,"60图书馆
老一 书中恶魔 出啥躲啥。
老二液态火焰 被连线冲锋的远离，BOSS变为火龙卷时会点名正负极，和BOSS同极接近，异极远离；变为手掌时攻击上升。头顶出现太阳月亮徽章，找同色地板躲避。
老三博学林鸮 爆震之章→随便踩一本浮空；龙卷之章→踩黑色的圈；河童之章→变成河童之后踩绿色的圈。BOSS扔完一圈书之后会召唤贝爷，如果DPS不够的话记得注意在陨石后面躲噶哦哦。"
神圣遗迹无限城市街古迹,"60EX无限城
老一阿卡莫特 BOSS读条“幻惑鳞粉”时，所有人都要转身面向场外，这个技能会制造玩家的幻象，并放出超大范围的AOE攻击
沿途会遇到巨大的光圈照在地上，T注意把怪都放进去。
老二双翼飞狮 出啥打啥，尤其BOSS身下的球，优先打掉。地上会出现土风圈，玩家会被上耐性降低的buff，土降低的踩风，风降低的踩土
老三基路伯 死了还会复活的渣渣。第二次复活之后优先击杀连线小怪。它还会读条圣疗，并在脚下出个魔法阵，站进去的人越多，伤害越少。"
