命运之轮,罩子
天星冲日,冲日
地星,地星
天宫图,天宫图
暗黑布道,布道
暗影墙,暗影墙
百花争艳,百花
摆脱,摆脱
白增,白增
必杀剑·闪影,闪影
庇护所,庇护所
标准舞步,小舞
不屈不挠之策,不屈
不死鸟附体,不死鸟
残影,残影
策动,策动
超火流星,超火
炽天召唤,大仙女
大地神的抒情恋歌,大地神
法令,法令
防守之桑巴,桑巴
分身之术,影分身
复仇,复仇
攻其不备,背刺
鼓励,鼓励
光之心,光之心
行尸走肉,活死人
行吟,行吟
黑魔纹,黑魔纹
红莲极意,红莲
昏乱,昏乱
极光,极光
即刻咏唱,即刻
即兴舞蹈,即兴表演
技巧舞步,大舞
节制,节制
巨龙视线,龙肠
空气锚,空气锚
连环计,连环计
龙神附体,龙神
猛者强击,强者猛击
秘策,秘策
明镜止水,明镜
魔罩,魔罩
内丹,内丹
内力迸发,内力
牵制,牵制
三连咏唱,三连
舍身,舍身
神名,神名
神圣领域,无敌
神祝祷,神祝祷
圣光幕帘,幕帘
死斗,死斗
泰然自若,泰然
天赐祝福,天赐
天地人,天地人
天星交错,交错
铁壁,铁壁
无情,无情
无中生有,无中生有
武装戍卫,翅膀
仙光的低语,低语
星云,星云
醒梦,醒梦
雪仇,雪仇
血乱,血乱
燕回返,回返
野火,野火
野战治疗阵,野战
以太契约,灵护
义结金兰,义结金兰
影牙,影牙
浴血,浴血
预警,预警
原初的解放,解放
原初的勇猛,勇猛
占卜,占卜
战斗连祷,连祷
战斗之声,战歌
战逃反应,战逃
真言,真言
整备,整备
至黑之夜,黑盾
治疗之华尔兹,华尔兹
中间学派,中间学派
转化,转化
钻头,钻头
吉星,吉星
