100 太阳神 1131
200 世界树 1134
300 放浪神 1132
400 战争神 1133
500 河流神 1135
600 建筑神 1136

王冠之领主 1D14
王冠之贵妇 1D15

空 0000000:00
日 0010000:00
月 0020000:00
星 0030000:00

日日 1010000:00
日月 2010000:00
日星 3010000:00
月月 2020000:00
月日 1020000:00
月星 3020000:00
星星 3030000:00
星日 1030000:00
星月 2030000:00

日日日 1010000:01
日日月 1010000:02
日日星 1010000:03
日月日 2010000:01
日月月 2010000:02
日月星 2010000:03
日星日 3010000:01
日星月 3010000:02
日星星 3010000:03

月日日 1020000:01
月日月 1020000:02
月日星 1020000:03
月月日 2020000:01
月月月 2020000:02
月月星 2020000:03
月星日 3020000:01
月星月 3020000:02
月星星 3020000:03

星日日 1030000:01
星日月 1030000:02
星日星 1030000:03
星月日 2030000:01
星月月 2030000:02
星月星 2030000:03
星星日 3030000:01
星星月 3030000:02
星星星 3030000:03
