伊甸零式希望乐园 (觉醒之章1),"E1S
       ■三角攻击    　    | 　   ■白球诱导
  D3　　　　　D4 　|　D3　MT　 D4
  　MT　　　ST　  　|
  　　　  ◎  　　　　 |　D1　 ◎ 　D2
  　D1　　　D2　 　|
  H1　　　　　H2　 |　H1　 ST 　H2
 ───────────────────────
        ■2人分摊　     　|      ■转转球诱导
 MT/D3　　ST/D4　| 　　　   D3
 　 　　   ◎ 　　 　　 | 　　H1  ◎  H2
 H1/D1　　H2/D2   | 　　　   D4
        ■4:4分摊
 MTH1D1D3  ◎  STH2D2D4
■黑洞 D1西  D2东  D3北  D4南
■小怪 西MT 东ST"
伊甸零式希望乐园 (觉醒之章2),"E2S
     【水波散开・踩塔】     ¦　【核爆】
　　D3　MT　 H2　　 ¦　　　　T
　　D1　 ◎　  Ｄ2　　 ¦
　　H1　ＳT　 Ｄ４　　¦　H　　D
- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --
　　　【罪与罚】　　　¦
　　　 MＴ/Ｄ3　　　   ¦
H1/D1　◎　 H2/D2   ¦
　　　 ＳT/D４　　　　¦
- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --
 复仇： 月环(内侧) → 水波(散开) → 直线(侧面)
 混沌： 直线(侧面) → 月环(内侧) → 水波(散开)"
伊甸零式希望乐园 (觉醒之章3),"E3S
   【左右散开】  　¦　【大時化】 左上开始
　MT 　   ST　　  ¦　
　D1　    D２　　¦　【裂流死刑】
　D3　　D4　　 ¦　１(MT无敌)　２(ST无敌)
　H1　　H２　　¦　３(挑衅换T)　４(MT无敌)
- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --
【大海嘯②Ａmaya式】 ¦　 【核爆+分摊】
　　MT　◎　ST　　　 ¦　　H1　◎　H2
　　　　　　　　　　    ¦  D1D3　　　D2D4
    　▲H　　　▲Ｄ　　 ¦
　Ｈ强压Ｄ     直D分摊D ¦　　MT　　　ST
- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- --
【灵泉引导：远程】　
踩塔顺序：近 ＞ 奶 ＞ 近 ＞ 远"
伊甸零式希望乐园 (觉醒之章4),"E4S
■黄标散开　　　  ■岩盘崩落（西→东）
D3 MT ST D4 　　A→B（TH）
H1 D1 D2 H2　    C→D（DPS）
■碎石死刑　          ■人型/车
MT→ST　　 　　  橙→D→T→H
■大地的两拳　　  ■石牢
ST　 　青　　　   北:H1　南:H2
MT　   其他
■升降梯1回目  北:DPS　南:TH
■升降梯2回目  北:MTH1D1D2　南:STH2D3D4
■长形场地              ■白流沙
黄橙                               橙标分摊：２回目爆发点
黄黄                               MT/D1：3回目爆发点
□□　　□□黄橙       ST/D2：１回目爆发点
青□　　青□黄黄       H1/D3：西   H2/D4：东"
白虎诗魂战,"极白虎
1组　MT　H1　D1　D2
2组　ST　H2　D3　D4
--------------------------------
[紫圈]
　　　AーDPS
　CーT　    Bー治疗"
希瓦歼殛战,"极冰神
场上结冰请不要进行任何移动！真的会死！
剑分摊,杖分散,弓背后集合
ST拉小怪,转场完换T
九连环当前MT开减伤硬吃,不要动！
分散时,T和近战去前半场,奶妈远程去后半场
冰河怒击全体远离正面,冰弓点名全体背后集合"
迦楼罗歼殛战,"极风神
螺旋气流躲背后,寒风之歌躲石柱后
羽毛击杀顺序:柔羽—>刚羽,刺羽St挑衅走,请不要打
分身处理方法:MT拉美翼本体去最北面,ST拉妙翅去最南面
击杀顺序:妙翅->美翼"
祖尔宛歼殛战,"极鬼神
                   飞翔站位分散图 请拉伸聊天框查看       
                        ■飞翔一■                                    ■飞翔二■     
                                 |      T                                        \      T             
                 D1           |                                        D1     \                 D2
                                 |                                                    \               
                                 |                 D2                                )一一一一一一
                                  |                                                   /              
               D3               |  \                                 D3      /                 D4
                                     |   \                                       /                 
                                      |     \      D4                      /      奶妈           
                         奶妈       |      \
 【小怪阶段】读条陨石快速击杀 注意回避恐惧
 【南十字座】人群[除了MT]→右   MT→左
 【蓝色点名】BOSS左侧 右侧打身位"
须佐之男歼殛战,"极豪神
■强袭:死刑 ■祸泡:停手
■八尺镜+晴岚+断海:击退后回来分摊
■雷云出现后断海不要形成三点一线
■P2 一T接刀，另一T开减伤撞球，其余人打罩子
■海岚斩:死刑换T
■闪电:被点名者跑到场地另一侧
■石牢点名:集火攻击仇恨列表BOSS上一个的石牢"
伊弗利特歼殛战,"极火神
奶妈:灼热咆哮注意点名,灼热去场边,无事站中间
T:BOSS拉东边,三灼伤快换T
DPS:先打柱子后打怪,三层易伤快停手
全体:链子接近,远离灼热奶妈,炎柱至多吃一片"
拉姆歼殛战,"极雷神
吃三个电球后扛BOSS,buff到时间补一红,另一个T找机会吃三个电球换T
被点名混乱去A点集合,其他人分一个人去用电圈电醒
场上留三个电球,多余的由奶和st收取(每人每次最多两个)
被连线不要放技能,吃三个电球解除连线
出小怪集火小怪
不要和MT站 不要站水里"
